original,translation,cosine_similarity
لم أكن أعلم أنك ستأتي اليوم,مش كنت عارف إنك هتكوني هنا,0.87481934
سأجعلك تموتُ من الإرهاق!,وحشتينى قد إيه وإنت بتعملى كدة قد إيه,0.81544673
نحن نعمل ، تعلمين ، لصالحك,إنتِ ممكن تعملي كدا و إحنا ممكن نعمل كدا,0.8391494
أخبرته ألا يشتري تذاكر درجة أولى لأنك بخيل..,لأ.. لا لا تتصل بابوك.. هو مش طايقني,0.7066336
لقد فقدنا الإشارة أكرر، لا توجد إشارة,عاجوزنا مش هناك,0.6813341
أعطني ضربة واحدة على هذا الرأس الكبير .,دينيلي دقة واحدة على الرأس الكبير دة.,0.80514854
و ليست مشكلتي أنه ليس لديك صديقات إناث، حسناً؟,أنت لسه لسه مقطوعش رجالة لحد الآن؟,0.68554205
كان لطيفاً زواج أخوك (هاري) و(روث) أليس كذلك؟,كان حلو جواز اخوك (هارى) و(روث) مش كده (؟),0.87387794
والآن دعنا نلعب مجددا ، بجدية هذه المرة - بكل سرور -,إحنا نقدر نلعب عالفلوس لو عايزة,0.8048445
على الأرض، انبطح على الأرض الآن!,نازل هنا,0.8948131
-كيف حالك؟,يا عم انت كويس ؟,0.88228965
سوفنجدهذاالقاتل.. ولكن، فيالوقتالحالي.. ذلك العرض يجب أن يستمر,علشان كده معرفش و لا أبسط فرصة إحنا بنتعامل مع القاتل؟,0.79683036
تريد أن تكون ال بار الاول فى المدينة الذى يحصل على هذا ؟,تؤمن إنك أول بار في المدينة يمتلك هذا الجهاز؟,0.77446043
لقد سمعتُ أنها في هذه المستشفى,سمعت انها فى المستشفى ديه,0.97091544
حسنا.. أعتقد أنني كنت خائفة,ماشي.. أنا فكره كنت خايفه,0.92202353
"أنا فقط حصلت على هذا , والأبيض الفارسي مختلطة مع الأحمر .",أنا بس خدته كده، والأبيض الفارسي مطعوج بالأحمر,0.77384377
لا، أضعت هاتفي,أنا أسفة نسيت موبایلی وبس,0.8246386
"حمداً لله أنهُ أنتْ , ظننتكَ الحراس , أأنت لوحدك؟",الحمد لله إني شفتك.. كنت فاكر الحراس.. إنت لوحدك؟,0.9466779
نحن لا نبحث عن شركاء جدد.,إحنا مش عايزين شركاء تانيين,0.6440242
ماذا تريد ان تفعل ؟,اية، اية ممكن تعمله,0.7649577
إسمعني يا دان لا مزيد من المكالمات,اسمعني يا دان ما فيش مكالمات تاني,0.8651694
"مهلًا, لن تقوما بقتلي؟",لا، بالله من فضلك متقتلنيش,0.81457317
- في يوم زفاف ابنته؟,حتى بعد اللى حصل معاه وبنتك,0.7188959
أنت لن يمنعه.,طبعًا تبقى كده لأنها هتتجوزك,0.77428335
إنه يوم جميل أليس كذلك (داني)؟,على ما يرام يا يوم رائع دلوقتى,0.8384766
هل هناك نوعا من المشكلة؟,ده يبدو أنو المشكلة، مش كده؟,0.71102774
انا فقط أكره المنازل الغير نظيفة الاتكرهها انت ؟,إلهي قدر أشوف بيتي من هنا,0.70341814
توم) الذي استقال من منصبه الصيف الماضي),توم) اللى استقال من منصبه الصيف اللى فات),0.9527815
دعهم المسيل للدموع مطبخ الجحيم بعيدا؟,سيبهم دموع مطبخ جهنّم بعيد؟,0.8286829
- نحن غارقون في ديونك.,و إحنا مالنا يا عم؟,0.72207075
إذاً أنت تظنين أن هذا نوعاً من مؤامرة شيطانية ؟,بتقول كده مؤامرة؟,0.74924564
لذا نحن لدينا بعض الوقت الان,بعدني عندنا وقت دلوقتي,0.8841487
الأمل الذي منحتني إياه أنقذ حياتي!,الامل اللى انتى ديتيهولى ده كان سببا فى انقاذ حياتى,0.90800965
"انا لا اتذكر , لقد كنت ثملا",مش قادر أفكر في الموضوع ده دلوقتي,0.7491743
عاشوا في مجموعات عائلية في بعض من أسوأ الظروف في المعسكر,عاشوا فى جروبات عائلية فى جزء من أسوأ ظروف المعسكر,0.97965014
تعلمت القتل بسرعة وهدوء,أنا مكنتش الأفضل لإني بقتل بسرعة,0.74442375
انظر، لقد إستعملت ملابسي مثلما علّمتني ألف مرة,بس أنا اللي ابتديت كل حاجة,0.7460259
و سأراكِ مع والديكِ لاحقاً,تمام، هقول لأبويا إنك جاي دلوقتي وأرجع أكمل اللي كنت بعملو,0.7716933
-أراهن أنها كانت ممتعة,كان المفروض دا متع,0.92538357
سيتأكد من ان يتمٌ تذكركم جميعاً,هو دايمًا مهتم بأخبارك وبيسترجع ذكرياته معاك، عارف كده؟,0.7787926
-إسمع لن نفعل شيئا حتى تعود زوجتي للمنزل,(إيرين) لازم نرجع البيت كمان).,0.75605106
التفاصيل مثالية تقريبا، لكن...,التفاصيل مضبوطة تقريباً، بس ..,0.81384647
لقد إكتشفت أن والده، هو من وضع القنبلة بالطائرة (197). وأنـه حاول جاهداً إخفاء هذا.,لقد اكتشفت أنه والده، هو اللي حط القنبلة بالطيارة (197). وانه حاول كتير يخبي ده.,0.9030128
قلت لا تفعل هذا.نحن لا نحتاج اليه.,ليه مش بنستعمله,0.83497006
هل يمكنك رجاء أن تقول لصديقك أن يستخدم الباب الأمامي ؟,اتفرج، هفتح الباب.,0.7407815
كيف سأطارح غرام نفس الثمان نساء طوال حياتي؟,ثمان مرات بس ف سنة كاملة؟,0.5774373
أعتقد أن حياتها معرضه للخطر.,أنا حاسس ان خطر على حياتها.,0.96217227
ما يقتلني هو أني أعرف أنني على حق أتمنى لو يمكنني أن أجعلهم يرون ذلك,أنا عارف إني كنت زعلان بس متقدرش توقفني,0.71358776
حسناً قررت أن آتي معكم,طيب، أنا قررت أجيلي معاكم,0.9280608
كان كرةً ضخمة مع أضواء تدور حولها، أكبر بأربع مرات من الـ 747.,كان كورة ضخمة فيها لمبات بتلف حواليا، أكبر بأربع مرات من البوينج 747.,0.869714
أنت دائما تبدو جميلة بالنسبة لي.,انت جميل وبتستاهل,0.80901563
الذي تريد هنا، واعظ؟,إنت عايز إيه هنا يا واعظ؟,0.7797809
-آسف، تعطلت سيارتي,سيارتي اتاخدت ولازم ارجعها,0.797004
لم يتم فتحها منذ أن تم إستخدامها للتعرف على جسده,هل كان عنده رغيف تحت جاكته؟,0.618642
أعلم أنك تستمع بتحليلك النفسي لي، ولكن ليس كل شيء أقوم به يكشف مشاعري الأكثر سرية.,-يمكن يكون مشاعري هي اللي بتنورني,0.7413037
تقرير الطبيب الشرعي، و وهنا جميع تقارير الشرطة من التحقيق.,وتقرير الطبيب الشرعي و ده كل محاضر الشرطة من التحقيق.,0.8522321
...كلما نظرت لنفسك في المرآة ، تذكر هناك شخص آخر يراك أيضاً,كل ما تتفرج على نفسك في المرايا، اتذكر إن في حد تاني بيشوفك,0.7844347
سوف أخبرك ماذا حدث ولكن يجب أن تخرجني من هنا، الأن,انتظري معايا لما أخرج من هنا,0.8116911
-قبل شهر، في (كراتشي)، لكن لا أعرف أين هو الآن,ما عنديش أي معلومه أنه كان هنا قبل شهر أو حوالين كده,0.80514324
- فقط اعتقدتُ أنني استطيع...,- بس كنت فاكرة إني ممكن,0.862564
هى فقط مسألة وقت قبل أن أكتشف الحقيقه,هيه بس وقت وهعرف الحقيقه,0.8628067
أنت تعلم ماالذي اريدك ان تفعله,أنا عارفة بتعملي ايه فينى,0.8023158
أيمكنني استخدام هاتفك ؟,بإمكاني استخدام تليفونك ؟,0.9812202
كنت أريد أن أشكركِ,كنت عايز أشكرك,0.8984115
هل هذا غريب أنه يجعلني جائع؟,هروح لو أنا جعانة,0.7766838
- ضوء قمر - أزرق،أزرق،أزرق،ضوء القمر,- ضوء القمر - أزرق،أزرق،أزرق،ضو القمر,0.99353415
يا إلهي إنها نفس الفتاة من هذا الشيء,هي اتصورت إنها بس دافتها,0.81819665
فى مصر قتلت رجلاً,فى مصر بقتل راجل,0.8583456
اسمُ الشخص المفقود؟,اسم الشخص المفقود إيه؟,0.99054813
تلك السيدة قالت أننا في برنامج الكاميرا الخفية,لاقيناهم نايمين فى اوضة سرية,0.67987704
♪ في أظلم ساعة من الليل ♪,♪ في إسود ليالي الليل ♪,0.93987346
هل تمانعين بأن تجلبي لي بعض الماء البارد ؟,ممكن تجيبيلي شويه ماية باردة؟,0.79416466
هل لديك خطاب إستقالتى؟,بتاع الاستقالة عندك؟,0.8592497
هذا الفريق يحتاج رأسا نقيه,الفريق ده عايز عقل نظيف,0.8093908
هو الذي أخرجنا من الخدمة العسكرية، في سن الثامنة عشرة.,هو اللي طلعنا من الخدمة العسكرية في سن 18,0.98113745
وانا لدي صديق حقيقي,لو كصديق اهو,0.7184898
أريد أن اتكلم معكِ على أنفراد في الخارج، من فضلكِ,أنا بتأسف إني زعلتك.. مش بعرف أتكلم مع الناس عادة,0.6475043
وربما تأخذ الطفل معها,ممكن ماما تيجي لو عايزه,0.78528625
احبك كثيراً,واحنا بحبك.,0.95978606
لكن هل يمكنني ان اسألك سؤال؟,ممكن اسألك سؤال شخصى؟,0.92919993
-حسناً، ماذا سنفعل؟,طيب، ما هي خطوتنا القادمة؟,0.87210816
دعني القي نظرة عليك,هيّا نلقي نظرة على ده ولا إيه؟,0.802739
هذا ما نحاول معرفته,ي لازم نعرف ايه اللي بيحصل,0.80951107
إذا فإن هذه الكلمات ستكون آخر كلماتك.,اذن دي كلماتك الاخيرة.,0.94092345
قلت لك منذ حدوث الامر لا تتحدث معي,بس مش هخليك تاخديني.,0.7757555
كل الحق، ماذا أقول عندما يسأل عن والدي البيولوجي له؟,تمام يا زين، هاقول ايه لما يسأل عليّا أبويه الحقيقي له؟,0.8009079
سأتحدث عندما أجد ما أتحدث عنه,أقدر أبرمو لكم شغلة نتكلم عليها بكرة,0.7946013
"كما تعلمين , لقد كنت أهنئها فحسب",و هي سعيدة من الموضوع و عايزني أقابلها...,0.7988268
-أتريدين بعض من هذا الحليب؟,-عايزة شوية من اللبن ده؟,0.9033247
